sub_mode, algo_mode, multi, div, classifier, p, r, f1, acc, baseline, date, tags, feats, feat_types, difficulties, size
submiss, categ,1, Div1, SVM,0.37,0.72,0.47,0.04,0.24, 2016/11/21 15:22:24, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div1, RFT,0.58,0.3,0.38,0.16,0.24, 2016/11/21 15:22:50, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, SVM,0.38,0.74,0.49,0.02,0.2, 2016/11/21 15:22:57, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, RFT,0.58,0.3,0.37,0.16,0.2, 2016/11/21 15:24:06, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, SVM,0.37,0.73,0.48,0.02,0.21, 2016/11/21 15:24:26, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, RFT,0.6,0.31,0.39,0.17,0.21, 2016/11/21 15:25:51, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, SVM,0.38,0.41,0.37,0.41,0.22, 2016/11/22 13:23:26, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, SVM,0.38,0.4,0.36,0.4,0.22, 2016/11/29 17:39:07, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.41,0.43,0.41,0.43,0.22, 2016/11/29 17:39:27, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, SVM,0.35,0.38,0.33,0.38,0.21, 2016/11/29 17:39:32, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.36,0.38,0.36,0.38,0.21, 2016/11/29 17:40:11, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
